PrimaryKey,LineKey,cover_type,percent
303C_2021,303C_15_2021,GAP,31.66666667
303C_2021,303C_2_2021,AF_I,0
303C_2021,303C_2_2021,AF_N,0
303C_2021,303C_2_2021,AG_I,5
303C_2021,303C_2_2021,PF_N,28.33333333
303C_2021,303C_2_2021,PG_I,0
303C_2021,303C_2_2021,PG_N,31.66666667
303C_2021,303C_2_2021,SH_N,26.66666667
303C_2021,303C_2_2021,PF_I,NA
303C_2021,303C_2_2021,GAP,35
303C_2021,303C_28_2021,AF_I,0
303C_2021,303C_28_2021,AF_N,0
303C_2021,303C_28_2021,AG_I,6.666666667
303C_2021,303C_28_2021,PF_N,31.66666667
303C_2021,303C_28_2021,PG_I,0
303C_2021,303C_28_2021,PG_N,31.66666667
303C_2021,303C_28_2021,SH_N,11.66666667
303C_2021,303C_28_2021,PF_I,NA
303C_2021,303C_28_2021,GAP,31.66666667
303T_2021,303T_15_2021,AF_I,0
303T_2021,303T_15_2021,AF_N,8.333333333
303T_2021,303T_15_2021,AG_I,10
303T_2021,303T_15_2021,PF_N,16.66666667
303T_2021,303T_15_2021,PG_I,0
303T_2021,303T_15_2021,PG_N,20
303T_2021,303T_15_2021,SH_N,10
303T_2021,303T_15_2021,PF_I,NA
303T_2021,303T_15_2021,GAP,45
303T_2021,303T_2_2021,AF_I,3.333333333
303T_2021,303T_2_2021,AF_N,3.333333333
303T_2021,303T_2_2021,AG_I,3.333333333
303T_2021,303T_2_2021,PF_N,11.66666667
303T_2021,303T_2_2021,PG_I,0
303T_2021,303T_2_2021,PG_N,35
303T_2021,303T_2_2021,SH_N,26.66666667
303T_2021,303T_2_2021,PF_I,NA
303T_2021,303T_2_2021,GAP,33.33333333
303T_2021,303T_28_2021,AF_I,8.333333333
303T_2021,303T_28_2021,AF_N,10
303T_2021,303T_28_2021,AG_I,11.66666667
303T_2021,303T_28_2021,PF_N,16.66666667
303T_2021,303T_28_2021,PG_I,0
303T_2021,303T_28_2021,PG_N,23.33333333
303T_2021,303T_28_2021,SH_N,18.33333333
303T_2021,303T_28_2021,PF_I,NA
303T_2021,303T_28_2021,GAP,31.66666667
304C_2021,304C_15_2021,AF_I,0
304C_2021,304C_15_2021,AF_N,0
304C_2021,304C_15_2021,AG_I,3.333333333
304C_2021,304C_15_2021,PF_N,48.33333333
304C_2021,304C_15_2021,PG_I,0
304C_2021,304C_15_2021,PG_N,20
304C_2021,304C_15_2021,SH_N,15
304C_2021,304C_15_2021,PF_I,NA
304C_2021,304C_15_2021,GAP,30
304C_2021,304C_2_2021,AF_I,0
304C_2021,304C_2_2021,AF_N,0
304C_2021,304C_2_2021,AG_I,11.66666667
304C_2021,304C_2_2021,PF_N,35
304C_2021,304C_2_2021,PG_I,0
304C_2021,304C_2_2021,PG_N,23.33333333
304C_2021,304C_2_2021,SH_N,5
304C_2021,304C_2_2021,PF_I,NA
304C_2021,304C_2_2021,GAP,38.33333333
304C_2021,304C_28_2021,AF_I,0
304C_2021,304C_28_2021,AF_N,0
